First Name,Last Name,Gender,Email,Phone,Education,Occupation,Experience (Years),Salary,Marital Status,Number of Children
Myra,Crawford,Female,m.crawford@randatmail.com,999-6887-32,Primary,Fine Artist,7,156038,Single,4
Michelle,Jones,Female,m.jones@randatmail.com,160-7147-44,Bachelor,Chef,16,83954,Single,4
Isabella,Hunt,Female,i.hunt@randatmail.com,669-6910-90,Upper secondary,Architect,23,37667,Married,4
Elise,Edwards,Female,e.edwards@randatmail.com,717-8655-73,Master,Chemist,28,98336,Single,2
Ned,Craig,Male,n.craig@randatmail.com,138-4132-80,Master,Florist,13,167842,Single,2
April,Gibson,Female,a.gibson@randatmail.com,622-1589-58,Master,Composer,15,79038,Single,5
Vanessa,Hall,Female,v.hall@randatmail.com,857-5391-63,Lower secondary,Interpreter,20,151863,Single,3
Arianna,Reed,Female,a.reed@randatmail.com,227-4514-33,Doctoral,Hairdresser,26,154768,Married,1
Tara,Stevens,Female,t.stevens@randatmail.com,835-5315-52,Master,Mechanic,24,125186,Married,0
Lyndon,Hawkins,Male,l.hawkins@randatmail.com,740-0875-26,Doctoral,Mathematician,27,110265,Married,4
Dainton,Riley,Male,d.riley@randatmail.com,206-3400-93,Upper secondary,Interpreter,15,165730,Single,2
George,Allen,Male,g.allen@randatmail.com,550-1817-68,Doctoral,Botanist,14,46118,Married,3
Olivia,Foster,Female,o.foster@randatmail.com,161-3316-70,Primary,Graphic Designer,0,198746,Single,0
Ada,Montgomery,Female,a.montgomery@randatmail.com,870-1363-79,Upper secondary,Cook,7,64064,Single,0
Evelyn,Hill,Female,e.hill@randatmail.com,012-8922-19,Upper secondary,Police Officer,1,135644,Single,5
Wilson,Gibson,Male,w.gibson@randatmail.com,047-7508-30,Upper secondary,Economist,3,95193,Single,3
Evelyn,Reed,Female,e.reed@randatmail.com,530-5803-59,Primary,Journalist,15,102769,Married,2
Paige,Barrett,Female,p.barrett@randatmail.com,737-9028-49,Lower secondary,Botanist,17,117506,Married,1
Albert,Hill,Male,a.hill@randatmail.com,386-7203-94,Lower secondary,Producer,14,122513,Married,3
Daniel,Adams,Male,d.adams@randatmail.com,237-2886-17,Upper secondary,Actor,28,119031,Married,0
Walter,Campbell,Male,w.campbell@randatmail.com,639-6738-37,Primary,Biochemist,8,46781,Married,4
Deanna,Farrell,Female,d.farrell@randatmail.com,121-2946-61,Doctoral,Agronomist,5,103430,Single,2
Justin,Harper,Male,j.harper@randatmail.com,615-0630-48,Lower secondary,Meteorologist,13,185060,Married,4
Alen,Spencer,Male,a.spencer@randatmail.com,410-5839-35,Master,Baker,29,109193,Married,4
James,Adams,Male,j.adams@randatmail.com,619-7713-97,Primary,Agronomist,4,147547,Married,3
Michelle,Lloyd,Female,m.lloyd@randatmail.com,274-8207-61,Upper secondary,Police Officer,19,40083,Married,3
Mary,Stewart,Female,m.stewart@randatmail.com,956-1559-02,Doctoral,Fine Artist,14,66425,Married,1
Chloe,Spencer,Female,c.spencer@randatmail.com,960-1172-95,Bachelor,Medic,14,167132,Married,3
Sabrina,Phillips,Female,s.phillips@randatmail.com,560-8284-42,Doctoral,Producer,9,183339,Married,1
